"app_id","date","v3_flashcard_id","category_id","override","P","Pb","Stem"
"3","2024-08-08","351981","1067568630","true","0.72","0.12","A nurse receives a prescription for a CT scan of the abdomen with iodine contrast for a client with type 2 diabetes mellitus. Which question does the nurse ask the client prior to the procedure?"
"3","2024-08-07","50915","1067570115","true","0.65","0.37","A nurse cares for a client recently admitted for prolonged vomiting related to a food-borne illness. The nurse assesses the client for symptoms related to which potential complication?"
"3","2024-08-06","240185","1067569679","true","0.69","0.13","A client receives an emergent central catheter to the femoral vein. During&nbsp;the following week, what complication does the nurse assess for?"
"3","2024-08-05","356386","1067568632","true","0.61","0.19","The nurse reviews a client’s ECG and notes narrow QRS waves. With regard to the cardiac cycle, what does the QRS waveform indicate?"
"3","2024-08-04","50486","1067568628","true","0.6","0.25","A nurse works on a psychiatric unit with several clients. When working with which client has the highest risk for physical aggression?&nbsp;"
"3","2024-08-03","82628","1067569726","true","0.69","0.14","The nurse prepares a health promotion presentation for clients who are teenagers. The nurse includes which instructional material in the presentation for the clients?"
"3","2024-08-02","275589","1067570175","true","0.56","0.32","The nurse leads a class for parents of three-day-old newborns prior to discharge. Which statement indicates understanding of newborn care in the first few weeks at home?"
"3","2024-08-01","338087","1067569725","true","0.61","0.19","The nurse notes that a client is confused and lethargic and obtains a BP reading of 61/39 mmHg. After stabilizing the client, the nurse notes that the assistive personnel (AP) documented 72/45 mmHg over an hour ago. 
 Which component of delegation needs to be addressed with the AP?"
"3","2024-07-31","50802","1067569673","true","0.78","0.14","A client has recently been prescribed tetracycline for the treatment of acne vulgaris. Which information does the nurse include in the teaching plan?"
"3","2024-07-30","49885","1067570179","true","0.76","0.13","How does the nurse describe compartment syndrome to a client with a recent fracture?"
"3","2024-07-29","50029","1067569682","true","0.71","0.16","The nurse cares for a group of clients. Which client is most at risk for constipation?"
"3","2024-07-28","49782","1067568630","true","0.56","0.12","A client with hyperaldosteronism experiences uncontrolled hypertension. The nurse expects an order for a CT scan of which structure?"
"3","2024-07-27","82594","1067570169","true","0.63","0.27","A nurse educates a client with Korsakoff syndrome. Which statement indicates further education is needed?"
"3","2024-07-26","50697","1067570186","true","0.78","0.13","A child is admitted to the hospital with an acute asthma exacerbation. Which assessment finding does the nurse identify as most concerning?"
"3","2024-07-25","274548","1067569680","true","0.73","0.15","An older adult client fell while walking down the stairs. The client needs an x-ray to assess if the arm is broken but refuses to go. 
 Which nursing actions are appropriate?&nbsp;"
"3","2024-07-24","243090","1067570178","true","0.42","0.26","The nurse receives a report on a group of postoperative clients. The nurse assesses which client first."
"3","2024-07-23","49997","1067570180","true","0.61","0.18","During the head-to-toe assessment, the nurse notices a skin lesion on the back of the client. The lesion appears black and brown with irregular borders and is asymmetrical. The nurse anticipates which diagnosis by the healthcare provider (HCP)?"
"3","2024-07-22","351984","1067569726","true","0.85","0.2","The nurse cares for an older adult client hospitalized for palliative care experiencing breakthrough pain. A team of providers collaborates in providing comfort care. When the nurse enters the room, the client’s spouse angrily approaches and says, “You people obviously don’t care for my wife! She is lying here in pain. Help her!” How does the nurse respond?"
